"id","data_inversa","dia_semana","horario","uf","br","km","municipio","causa_acidente","tipo_acidente","classificacao_acidente","fase_dia","sentido_via","condicao_metereologica","tipo_pista","tracado_via","uso_solo","pessoas","mortos","feridos_leves","feridos_graves","ilesos","ignorados","feridos","veiculos","latitude","longitude","regional","delegacia","uop"
502576,2023-02-01,"quarta-feira",22:15:00,"PB",412,"19,5","BOA VISTA","Reação tardia ou ineficiente do condutor","Colisão frontal","Com Vítimas Feridas","Plena Noite","Crescente","Céu Claro","Simples","Reta","Não",3,0,2,1,0,0,3,2,"-7,258766",-36233791,"SPRF-PB","DEL02-PB","UOP02-DEL02-PB"
502913,2023-02-03,"sexta-feira",18:20:00,"PB",230,"372","CONDADO","Transitar na contramão","Colisão frontal","Com Vítimas Fatais","Plena Noite","Decrescente","Céu Claro","Simples","Reta","Não",4,1,0,0,2,1,0,2,"-6,9082",-375675,"SPRF-PB","DEL03-PB","UOP02-DEL03-PB"
503043,2023-02-04,"sábado",10:40:00,"PB",230,"463,4","SOUSA","Acesso irregular","Colisão frontal","Com Vítimas Feridas","Pleno dia","Decrescente","Céu Claro","Simples","Não Informado","Sim",2,0,0,1,1,0,1,2,"-6,778671",-38240771,"SPRF-PB","DEL03-PB","UOP03-DEL03-PB"
503060,2023-02-04,"sábado",14:40:00,"PB",230,"169,9","CAMPINA GRANDE","Condutor deixou de manter distância do veículo da frente","Colisão traseira","Com Vítimas Feridas","Pleno dia","Decrescente","Céu Claro","Simples","Não Informado","Sim",3,0,1,0,2,0,1,2,"-7,1853",-359764,"SPRF-PB","DEL02-PB","UOP02-DEL02-PB"
503124,2023-02-04,"sábado",18:35:00,"PB",110,"182,1","MONTEIRO","Ingestão de álcool pelo condutor","Colisão frontal","Com Vítimas Feridas","Plena Noite","Crescente","Céu Claro","Simples","Reta","Sim",4,0,1,1,2,0,2,2,"-7,90054609",-3713124633,"SPRF-PB","DEL02-PB","UOP02-DEL02-PB"
503541,2023-02-06,"segunda-feira",15:50:00,"PB",230,"35,2","BAYEUX","Manobra de mudança de faixa","Colisão lateral mesmo sentido","Com Vítimas Feridas","Pleno dia","Crescente","Sol","Dupla","Não Informado","Sim",4,0,1,0,3,0,1,3,"-7,12693378",-3494130927,"SPRF-PB","DEL01-PB","UOP01-DEL01-PB"
503578,2023-02-06,"segunda-feira",16:45:00,"PB",230,"51","SANTA RITA","Manobra de mudança de faixa","Colisão lateral mesmo sentido","Com Vítimas Feridas","Pleno dia","Crescente","Sol","Dupla","Reta","Não",4,0,1,0,1,2,1,2,"-7,1897",-350615,"SPRF-PB","DEL01-PB","UOP03-DEL01-PB"
503841,2023-02-08,"quarta-feira",09:44:00,"PB",101,"96,1","CONDE","Acesso irregular","Colisão transversal","Com Vítimas Feridas","Pleno dia","Decrescente","Sol","Dupla","Retorno Regulamentado","Sim",2,0,1,0,1,0,1,2,"-7,23307172",-3492258668,"SPRF-PB","DEL01-PB","UOP02-DEL01-PB"
503889,2023-02-08,"quarta-feira",15:20:00,"PB",230,"147","CAMPINA GRANDE","Demais falhas mecânicas ou elétricas","Saída de leito carroçável","Sem Vítimas","Pleno dia","Crescente","Céu Claro","Dupla","Reta","Sim",1,0,0,0,1,0,0,1,"-7,2425",-358567,"SPRF-PB","DEL02-PB","UOP01-DEL02-PB"
503988,2023-02-09,"quinta-feira",05:00:00,"PB",230,"364","MALTA","Ingestão de substâncias psicoativas pelo condutor","Saída de leito carroçável","Sem Vítimas","Pleno dia","Decrescente","Céu Claro","Simples","Reta","Sim",1,0,0,0,1,0,0,1,"-6,9111",-374973,"SPRF-PB","DEL03-PB","UOP02-DEL03-PB"
504015,2023-02-09,"quinta-feira",08:55:00,"PB",101,"105","ALHANDRA","Avarias e/ou desgaste excessivo no pneu","Colisão com objeto","Sem Vítimas","Pleno dia","Crescente","Céu Claro","Dupla","Reta","Não",2,0,0,0,2,0,0,1,"-7,31056006",-3494482756,"SPRF-PB","DEL01-PB","UOP02-DEL01-PB"
504849,2023-02-13,"segunda-feira",06:45:00,"PB",101,"82,5","BAYEUX","Ausência de reação do condutor","Colisão traseira","Com Vítimas Feridas","Pleno dia","Crescente","Céu Claro","Dupla","Não Informado","Sim",13,0,1,0,11,1,1,9,"-7,131",-349332,"SPRF-PB","DEL01-PB","UOP01-DEL01-PB"
505007,2023-02-13,"segunda-feira",22:30:00,"PB",101,"96","CONDE","Acessar a via sem observar a presença dos outros veículos","Colisão transversal","Com Vítimas Feridas","Plena Noite","Decrescente","Céu Claro","Dupla","Não Informado","Não",2,0,1,0,1,0,1,2,"-7,230921",-34921149,"SPRF-PB","DEL01-PB","UOP02-DEL01-PB"
505141,2023-02-14,"terça-feira",17:40:00,"PB",361,"30,5","SANTA TERESINHA","Transitar na contramão","Colisão lateral sentido oposto","Com Vítimas Feridas","Anoitecer","Crescente","Céu Claro","Simples","Reta","Não",2,0,1,0,1,0,1,2,"-7,08699235",-3750978695,"SPRF-PB","DEL03-PB","UOP01-DEL03-PB"
505383,2023-02-16,"quinta-feira",06:40:00,"PB",230,"23","JOAO PESSOA","Trafegar com motocicleta (ou similar) entre as faixas","Colisão lateral mesmo sentido","Com Vítimas Fatais","Pleno dia","Decrescente","Sol","Dupla","Reta","Sim",5,1,0,1,3,0,1,3,"-7,1562",-348574,"SPRF-PB","DEL01-PB","UOP01-DEL01-PB"
505414,2023-02-16,"quinta-feira",09:20:00,"PB",230,"20","JOAO PESSOA","Ausência de reação do condutor","Colisão com objeto","Com Vítimas Feridas","Pleno dia","Decrescente","Céu Claro","Dupla","Não Informado","Não",1,0,1,0,0,0,1,1,"-7,13816155",-3485308712,"SPRF-PB","DEL01-PB","UOP01-DEL01-PB"
506735,2023-02-22,"quarta-feira",22:15:00,"PB",412,"63,9","SAO JOAO DO CARIRI","Ultrapassagem Indevida","Colisão lateral sentido oposto","Com Vítimas Feridas","Plena Noite","Decrescente","Céu Claro","Simples","Reta","Não",2,0,1,0,1,0,1,2,"-7,431495",-36570766,"SPRF-PB","DEL02-PB","UOP02-DEL02-PB"
506868,2023-02-23,"quinta-feira",17:10:00,"PB",104,"132,9","QUEIMADAS","Transitar na contramão","Colisão frontal","Com Vítimas Fatais","Pleno dia","Decrescente","Chuva","Simples","Não Informado","Sim",2,1,0,0,1,0,0,2,"-7,31674795",-3589500926,"SPRF-PB","DEL02-PB","UOP03-DEL02-PB"
507167,2023-02-25,"sábado",16:15:00,"PB",230,"425,6","POMBAL","Ausência de reação do condutor","Saída de leito carroçável","Com Vítimas Fatais","Pleno dia","Crescente","Céu Claro","Simples","Reta","Não",1,1,0,0,0,0,0,1,"-6,73467",-3791525,"SPRF-PB","DEL03-PB","UOP02-DEL03-PB"
508332,2023-03-03,"sexta-feira",23:11:00,"PB",101,"27","RIO TINTO","Acessar a via sem observar a presença dos outros veículos","Colisão traseira","Com Vítimas Feridas","Plena Noite","Decrescente","Nublado","Dupla","Reta","Não",2,0,1,0,1,0,1,2,"-6,72589095",-3512052811,"SPRF-PB","DEL01-PB","UOP04-DEL01-PB"
508620,2023-03-05,"domingo",08:25:00,"PB",101,"27,5","MAMANGUAPE","Condutor Dormindo","Colisão traseira","Com Vítimas Feridas","Pleno dia","Crescente","Céu Claro","Dupla","Reta","Não",3,0,2,0,1,0,2,2,"-6,72589095",-3512052811,"SPRF-PB","DEL01-PB","UOP04-DEL01-PB"
508636,2023-03-05,"domingo",09:00:00,"PB",104,"185,6","ALCANTIL","Velocidade Incompatível","Tombamento","Com Vítimas Fatais","Pleno dia","Decrescente","Céu Claro","Simples","Não Informado","Não",3,1,0,1,0,1,1,1,"-7,68863293",-3606166381,"SPRF-PB","DEL02-PB","UOP03-DEL02-PB"
508838,2023-03-06,"segunda-feira",07:13:00,"PB",230,"467,7","SOUSA","Condutor deixou de manter distância do veículo da frente","Colisão traseira","Com Vítimas Feridas","Pleno dia","Decrescente","Céu Claro","Simples","Reta","Sim",2,0,1,0,1,0,1,2,"-6,7813",-382606,"SPRF-PB","DEL03-PB","UOP03-DEL03-PB"
509308,2023-03-08,"quarta-feira",21:10:00,"PB",230,"23","JOAO PESSOA","Acessar a via sem observar a presença dos outros veículos","Colisão lateral mesmo sentido","Com Vítimas Feridas","Plena Noite","Decrescente","Ignorado","Dupla","Reta","Sim",3,0,2,0,1,0,2,2,"-7,1562",-348574,"SPRF-PB","DEL01-PB","UOP01-DEL01-PB"
510118,2023-03-12,"domingo",14:30:00,"PB",412,"118,4","SUME","Demais falhas mecânicas ou elétricas","Incêndio","Sem Vítimas","Pleno dia","Decrescente","Sol","Simples","Não Informado","Não",1,0,0,0,1,0,0,1,"-7,725514",-36947811,"SPRF-PB","DEL02-PB","UOP02-DEL02-PB"
510848,2023-03-16,"quinta-feira",07:25:00,"PB",110,"182,2","MONTEIRO","Desrespeitar a preferência no cruzamento","Colisão transversal","Com Vítimas Fatais","Pleno dia","Decrescente","Céu Claro","Simples","Interseção de vias","Sim",2,1,0,0,1,0,0,2,"-7,9000785",-3713326335,"SPRF-PB","DEL02-PB","UOP02-DEL02-PB"
510904,2023-03-16,"quinta-feira",14:30:00,"PB",104,"185,6","ALCANTIL","Velocidade Incompatível","Tombamento","Com Vítimas Feridas","Pleno dia","Decrescente","Céu Claro","Simples","Não Informado","Não",3,0,0,3,0,0,3,1,"-7,68026048",-3606058259,"SPRF-PB","DEL02-PB","UOP03-DEL02-PB"
511724,2023-03-20,"segunda-feira",08:30:00,"PB",230,"148","CAMPINA GRANDE","Demais falhas mecânicas ou elétricas","Colisão traseira","Com Vítimas Feridas","Pleno dia","Decrescente","Céu Claro","Dupla","Não Informado","Sim",3,0,1,0,2,0,1,2,"-7,23731528",-3586783117,"SPRF-PB","DEL02-PB","UOP01-DEL02-PB"
511729,2023-03-20,"segunda-feira",10:38:00,"PB",101,"92,3","JOAO PESSOA","Ultrapassagem Indevida","Colisão lateral mesmo sentido","Com Vítimas Feridas","Pleno dia","Decrescente","Céu Claro","Dupla","Reta","Sim",3,0,1,0,1,1,1,3,"-7,20393276",-3490805268,"SPRF-PB","DEL01-PB","UOP02-DEL01-PB"
512197,2023-03-22,"quarta-feira",16:15:00,"PB",230,"438,7","APARECIDA","Ausência de reação do condutor","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Decrescente","Nublado","Simples","Não Informado","Não",1,0,1,0,0,0,1,1,"-6,7612",-380094,"SPRF-PB","DEL03-PB","UOP02-DEL03-PB"
512288,2023-03-23,"quinta-feira",07:10:00,"PB",230,"24","JOAO PESSOA","Acessar a via sem observar a presença dos outros veículos","Colisão lateral mesmo sentido","Sem Vítimas","Pleno dia","Decrescente","Céu Claro","Múltipla","Não Informado","Sim",2,0,0,0,2,0,0,2,"-7,1637",-348618,"SPRF-PB","DEL01-PB","UOP01-DEL01-PB"
512640,2023-03-06,"segunda-feira",07:25:00,"PB",230,"54,3","CRUZ DO ESPIRITO SANTO","Ausência de reação do condutor","Colisão traseira","Com Vítimas Feridas","Pleno dia","Decrescente","Céu Claro","Dupla","Reta","Não",4,0,0,2,1,1,2,2,"-7,2007",-350854,"SPRF-PB","DEL01-PB","UOP03-DEL01-PB"
513500,2023-03-29,"quarta-feira",08:00:00,"PB",230,"64","SAO MIGUEL DE TAIPU","Ausência de reação do condutor","Saída de leito carroçável","Sem Vítimas","Pleno dia","Decrescente","Chuva","Dupla","Curva","Não",1,0,0,0,1,0,0,1,"-7,1944",-351754,"SPRF-PB","DEL01-PB","UOP03-DEL01-PB"
513628,2023-03-29,"quarta-feira",21:15:00,"PB",101,"94","CONDE","Chuva","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Decrescente","Chuva","Dupla","Não Informado","Não",1,0,1,0,0,0,1,1,"-7,21483297",-349117521,"SPRF-PB","DEL01-PB","UOP02-DEL01-PB"
514167,2023-04-01,"sábado",15:17:00,"PB",230,"26","JOAO PESSOA","Ausência de reação do condutor","Colisão traseira","Sem Vítimas","Pleno dia","Crescente","Sol","Dupla","Não Informado","Não",2,0,0,0,2,0,0,2,"-7,1693",-348782,"SPRF-PB","DEL01-PB","UOP01-DEL01-PB"
514184,2023-04-01,"sábado",16:40:00,"PB",230,"155,4","CAMPINA GRANDE","Acessar a via sem observar a presença dos outros veículos","Colisão transversal","Com Vítimas Feridas","Pleno dia","Decrescente","Céu Claro","Simples","Não Informado","Sim",2,0,0,1,1,0,1,2,"-7,27560762",-3590394551,"SPRF-PB","DEL02-PB","UOP01-DEL02-PB"
514685,2023-04-03,"segunda-feira",23:30:00,"PB",230,"313,5","SAO MAMEDE","Pista Escorregadia","Tombamento","Com Vítimas Feridas","Plena Noite","Crescente","Chuva","Simples","Não Informado","Não",3,0,3,0,0,0,3,1,"-6,938335",-37096918,"SPRF-PB","DEL03-PB","UOP01-DEL03-PB"
514725,2023-04-04,"terça-feira",07:30:00,"PB",101,"63","SANTA RITA","Condutor Dormindo","Saída de leito carroçável","Sem Vítimas","Pleno dia","Crescente","Céu Claro","Dupla","Não Informado","Não",1,0,0,0,1,0,0,1,"-7,02710902",-3505990203,"SPRF-PB","DEL01-PB","UOP04-DEL01-PB"
515075,2023-04-06,"quinta-feira",05:18:00,"PB",101,"52,5","SANTA RITA","Reação tardia ou ineficiente do condutor","Colisão traseira","Com Vítimas Feridas","Amanhecer","Decrescente","Céu Claro","Dupla","Não Informado","Não",4,0,2,0,0,2,2,2,"-6,93821564",-3509935736,"SPRF-PB","DEL01-PB","UOP04-DEL01-PB"
516068,2023-04-10,"segunda-feira",16:00:00,"PB",230,"26,6","JOAO PESSOA","Reação tardia ou ineficiente do condutor","Colisão lateral mesmo sentido","Com Vítimas Feridas","Pleno dia","Decrescente","Céu Claro","Dupla","Não Informado","Sim",3,0,1,0,2,0,1,3,"-7,1693",-348782,"SPRF-PB","DEL01-PB","UOP01-DEL01-PB"
516219,2023-04-11,"terça-feira",09:40:00,"PB",101,"79","SANTA RITA","Demais falhas mecânicas ou elétricas","Colisão com objeto","Sem Vítimas","Pleno dia","Decrescente","Sol","Dupla","Reta","Não",1,0,0,0,1,0,0,1,"-7,1147526",-3495793891,"SPRF-PB","DEL01-PB","UOP04-DEL01-PB"
516315,2023-04-11,"terça-feira",22:45:00,"PB",101,"122","CAAPORA","Ausência de reação do condutor","Colisão traseira","Com Vítimas Feridas","Plena Noite","Decrescente","Céu Claro","Dupla","Não Informado","Não",2,0,1,0,1,0,1,2,"-7,45038197",-3497994215,"SPRF-PB","DEL01-PB","UOP02-DEL01-PB"
517104,2023-04-16,"domingo",03:00:00,"PB",101,"89,3","JOAO PESSOA","Ingestão de álcool ou de substâncias psicoativas pelo pedestre","Atropelamento de Pedestre","Com Vítimas Feridas","Plena Noite","Decrescente","Ignorado","Dupla","Reta","Sim",2,0,1,0,1,0,1,1,"-7,17304928",-348981142,"SPRF-PB","DEL01-PB","UOP02-DEL01-PB"
517538,2023-04-18,"terça-feira",01:00:00,"PB",104,"142","QUEIMADAS","Ingestão de álcool pelo condutor","Colisão lateral sentido oposto","Sem Vítimas","Plena Noite","Crescente","Nevoeiro/Neblina","Simples","Reta","Não",2,0,0,0,1,1,0,2,"-7,39577502",-3589744631,"SPRF-PB","DEL02-PB","UOP03-DEL02-PB"
518069,2023-04-20,"quinta-feira",16:50:00,"PB",104,"118","CAMPINA GRANDE","Transitar na contramão","Colisão frontal","Sem Vítimas","Anoitecer","Decrescente","Céu Claro","Simples","Não Informado","Sim",2,0,0,0,2,0,0,2,"-7,19637839",-3587571339,"SPRF-PB","DEL02-PB","UOP04-DEL02-PB"
518362,2023-04-21,"sexta-feira",21:00:00,"PB",230,"217,5","SOLEDADE","Acessar a via sem observar a presença dos outros veículos","Colisão transversal","Com Vítimas Fatais","Plena Noite","Crescente","Céu Claro","Simples","Reta","Sim",3,1,0,0,1,1,0,2,"-7,0532",-363751,"SPRF-PB","DEL02-PB","UOP02-DEL02-PB"
518520,2023-04-22,"sábado",19:00:00,"PB",116,"6,6","CACHOEIRA DOS INDIOS","Condutor deixou de manter distância do veículo da frente","Colisão traseira","Com Vítimas Fatais","Plena Noite","Decrescente","Céu Claro","Simples","Não Informado","Não",2,1,0,0,1,0,0,2,"-6,95359",-3872197,"SPRF-CE","DEL05-CE","UOP03-DEL05-CE"
519057,2023-04-20,"quinta-feira",09:55:00,"PB",101,"84","BAYEUX","Reação tardia ou ineficiente do condutor","Colisão traseira","Com Vítimas Feridas","Pleno dia","Decrescente","Céu Claro","Dupla","Reta","Sim",5,0,1,1,2,1,2,4,"-7,13957906",-3492312806,"SPRF-PB","DEL01-PB","UOP01-DEL01-PB"
519121,2023-04-25,"terça-feira",13:47:00,"PB",230,"74,6","SOBRADO","Ausência de reação do condutor","Colisão traseira","Com Vítimas Feridas","Pleno dia","Decrescente","Nublado","Dupla","Não Informado","Não",2,0,1,0,1,0,1,2,"-7,1869",-352871,"SPRF-PB","DEL01-PB","UOP03-DEL01-PB"
519382,2023-04-26,"quarta-feira",20:30:00,"PB",101,"45","MAMANGUAPE","Ausência de reação do condutor","Saída de leito carroçável","Com Vítimas Feridas","Plena Noite","Crescente","Céu Claro","Dupla","Reta","Não",2,0,1,0,1,0,1,2,"-6,88322894",-351303459,"SPRF-PB","DEL01-PB","UOP04-DEL01-PB"
519520,2023-04-27,"quinta-feira",14:15:00,"PB",101,"122","CAAPORA","Acessar a via sem observar a presença dos outros veículos","Colisão lateral mesmo sentido","Com Vítimas Feridas","Pleno dia","Crescente","Céu Claro","Dupla","Reta","Não",2,0,1,0,1,0,1,2,"-7,45038197",-3497994215,"SPRF-PB","DEL01-PB","UOP02-DEL01-PB"
519897,2023-04-29,"sábado",04:15:00,"PB",104,"143,7","QUEIMADAS","Ingestão de álcool pelo condutor","Colisão lateral sentido oposto","Sem Vítimas","Amanhecer","Decrescente","Nevoeiro/Neblina","Simples","Reta","Não",2,0,0,0,2,0,0,2,"-7,40477903",-3589667929,"SPRF-PB","DEL02-PB","UOP03-DEL02-PB"
520829,2023-05-03,"quarta-feira",17:10:00,"PB",101,"92","JOAO PESSOA","Reação tardia ou ineficiente do condutor","Colisão lateral mesmo sentido","Com Vítimas Feridas","Anoitecer","Decrescente","Céu Claro","Dupla","Reta","Sim",2,0,1,0,1,0,1,2,"-7,19683829",-3490588313,"SPRF-PB","DEL01-PB","UOP02-DEL01-PB"
520937,2023-05-04,"quinta-feira",07:30:00,"PB",230,"155,2","CAMPINA GRANDE","Velocidade Incompatível","Colisão transversal","Com Vítimas Feridas","Pleno dia","Crescente","Céu Claro","Simples","Reta","Sim",2,0,1,0,1,0,1,2,"-7,2748",-359058,"SPRF-PB","DEL02-PB","UOP01-DEL02-PB"
521020,2023-05-04,"quinta-feira",17:45:00,"PB",230,"394,6","SAO BENTINHO","Ultrapassagem Indevida","Colisão frontal","Com Vítimas Fatais","Anoitecer","Decrescente","Céu Claro","Simples","Reta","Não",5,3,0,1,1,0,1,2,"-6,8687",-377351,"SPRF-PB","DEL03-PB","UOP02-DEL03-PB"
521278,2023-05-05,"sexta-feira",21:40:00,"PB",230,"277","SANTA LUZIA","Ingestão de álcool pelo condutor","Colisão frontal","Sem Vítimas","Plena Noite","Crescente","Céu Claro","Simples","Não Informado","Não",2,0,0,0,2,0,0,2,"-6,9579",-368398,"SPRF-PB","DEL03-PB","UOP01-DEL03-PB"
522067,2023-05-09,"terça-feira",23:35:00,"PB",101,"11,7","MAMANGUAPE","Velocidade Incompatível","Tombamento","Com Vítimas Fatais","Plena Noite","Decrescente","Céu Claro","Múltipla","Não Informado","Sim",2,1,0,1,0,0,1,1,"-6,59878963",-3514406204,"SPRF-PB","DEL01-PB","UOP04-DEL01-PB"
522341,2023-05-11,"quinta-feira",14:00:00,"PB",230,"15,4","JOAO PESSOA","Ausência de reação do condutor","Engavetamento","Com Vítimas Feridas","Pleno dia","Crescente","Céu Claro","Dupla","Não Informado","Sim",4,0,2,0,2,0,2,3,"-7,093",-348482,"SPRF-PB","DEL01-PB","UOP01-DEL01-PB"
522649,2023-05-12,"sexta-feira",21:25:00,"PB",101,"62,7","SANTA RITA","Reação tardia ou ineficiente do condutor","Colisão traseira","Com Vítimas Feridas","Plena Noite","Crescente","Céu Claro","Dupla","Não Informado","Não",3,0,1,0,2,0,1,2,"-7,02710902",-3505990203,"SPRF-PB","DEL01-PB","UOP04-DEL01-PB"
522694,2023-05-13,"sábado",04:45:00,"PB",230,"135","MASSARANDUBA","Condutor Dormindo","Saída de leito carroçável","Com Vítimas Feridas","Amanhecer","Decrescente","Céu Claro","Dupla","Curva","Não",1,0,1,0,0,0,1,1,"-7,2789",-357591,"SPRF-PB","DEL02-PB","UOP01-DEL02-PB"
524356,2023-05-20,"sábado",23:00:00,"PB",230,"408,2","POMBAL","Ingestão de álcool pelo condutor","Colisão com objeto","Com Vítimas Feridas","Plena Noite","Crescente","Céu Claro","Simples","Reta","Sim",2,0,1,0,1,0,1,2,"-6,7641",-37794,"SPRF-PB","DEL03-PB","UOP02-DEL03-PB"
524589,2023-05-22,"segunda-feira",04:30:00,"PB",230,"38","SANTA RITA","Condutor deixou de manter distância do veículo da frente","Colisão traseira","Com Vítimas Feridas","Amanhecer","Decrescente","Garoa/Chuvisco","Dupla","Reta","Sim",6,0,1,2,3,0,3,2,"-7,1341",-34962,"SPRF-PB","DEL01-PB","UOP03-DEL01-PB"
525105,2023-05-24,"quarta-feira",19:00:00,"PB",230,"410,2","POMBAL","Condutor deixou de manter distância do veículo da frente","Colisão traseira","Com Vítimas Feridas","Plena Noite","Decrescente","Céu Claro","Simples","Reta","Não",3,0,1,0,2,0,1,2,"-6,7494",-377884,"SPRF-PB","DEL03-PB","UOP02-DEL03-PB"
